name,userCount,phoneNumber,extension
"800-762-5787 IVR Repeat Menu",0,9033216838,1450
"Administration",0,,
"Arian Tyler test",0,,3453
"Athens Backline",18,9036752712,1453
"Athens Dr. Referral",18,9034999800,5373
"Athens Front Desk",5,9033216413,1573
"Athens LASIK Counselors",2,,5723
"Athens Operator",7,9033216734,6088
"Athens Optical",3,9036751014,2480
"Athens Sx Counselors",2,,8509
"Athens Tech-NORTH",3,,2919
"Athens Tech-SOUTH",2,,3386
"Athens Technicians",6,,4314
"Billing",0,,3267
"Billing Group",1,,3282
"Billing IVR Option 4 Group",1,,
"Business Office",0,,5517
"Business Office - Hotline",17,,9062
"Compliance Hot Line",0,9035086460,4557
"Contact Center",2,,2793
"Continuing Education Line",0,9033216728,8930
"Employee",188,,
"Empty 1",0,,
"Empty 2",0,,
"Empty 3",0,,
"GBC",7,,8956
"IT Team",2,9035086499,2588
"IT Team II",0,,8554
"Jerry Test Team",0,,9275
"Longview ASC Clerical",4,,3775
"Longview ASC Nurse Team",4,,5216
"Longview Day",10,9033216433,9474
"Longview Front Desk",0,,
"Longview LASIK Counselors",2,,1318
"Longview Optical",3,9034750171,8717
"Longview Scheduling",6,9032340773,2464
"Longview Sx Counselors",2,,8675
"Longview Tech",6,,8533
"Marketing",0,,7783
"Sales",0,,
"Service",0,,
"Tyler All Techs",8,,6190
"Tyler ASC",2,,2365
"Tyler BLDG 2 Dossey Tech Desk",3,,4262
"Tyler BLDG 2 Front Desk",3,9035086450,3094
"Tyler BLDG 2 Main Tech Desk",1,,2719
"Tyler BLDG 2 Marshall Tech Desk",2,,2898
"Tyler Front Desk",4,,7454
"Tyler LASIK Counselors",6,,9917
"Tyler Optical Team",4,9035086405,1755
"Tyler Tech Epic",3,,3075
"Tyler Tech Pedi",3,,9039
